Geographic area,Total Revenue(thousand),Federal Revenue(thousand),State Revenue(thousand),Local Revenue(thousand),Total Expenditure(thousand),Total Debt(thousand),Federal Funding Percent of Total,State Funding Percent of Total,Local Funding Percent of Total,Elementary-secondary enrollment,2013 Personal income(million dollars),Total Revenue Per Pupil,Total Expenditure Per Pupil,Total Debt Per Pupil
United States,"617,633,773","52,882,083","288,584,445","276,167,245","613,637,958","416,175,703",8.6,46.7,44.7,"48,349,251","14,064,468",12774.42277,12691.77796,8607.697004
Alabama,"7,355,547","794,090","4,031,547","2,529,910","7,578,390","5,273,703",10.8,54.8,34.4,"740,081","174,877",9938.840478,10239.94671,7125.845684
Alaska,"2,554,814","309,525","1,715,699","529,590","2,727,056","1,272,709",12.1,67.2,20.7,"130,539","37,791",19571.26989,20890.73763,9749.6457
Arizona,"8,293,591","1,102,980","3,182,285","4,008,326","8,101,041","4,423,687",13.3,38.4,48.3,"943,937","243,657",8786.170052,8582.18398,4686.421869
Arkansas,"5,175,529","552,738","4,006,889","615,902","5,205,338","3,945,397",10.7,77.4,11.9,"479,881","108,081",10785.02587,10847.14335,8221.615359
California,"69,857,908","7,415,061","38,410,554","24,032,293","69,336,590","56,046,457",10.6,55,34.4,"6,224,685","1,849,505",11222.72179,11138.97169,9003.902527
Colorado,"9,117,534","681,230","3,961,719","4,474,585","9,240,796","7,215,312",7.5,43.5,49.1,"865,231","246,448",10537.68762,10680.149,8339.174163
Connecticut,"10,516,316","420,593","4,141,590","5,954,133","9,932,659","2,777,706",4,39.4,56.6,"511,082","223,561",20576.57284,19434.57019,5434.95173
Delaware,"1,902,776","133,055","1,137,764","631,957","1,930,195","543,557",7,59.8,33.2,"120,623","41,468",15774.57036,16001.8819,4506.246736
District of Columbia,"1,342,220","134,959",NA,"1,207,261","1,313,289",0,10.1,NA,89.9,"44,942","44,533",29865.60456,29221.86374,0
Florida,"26,072,680","3,112,027","10,460,928","12,499,725","26,523,658","15,304,653",11.9,40.1,47.9,"2,708,022","809,665",9627.942461,9794.476559,5651.598473
Georgia,"17,817,933","1,804,212","7,837,335","8,176,386","17,658,341","4,652,152",10.1,44,45.9,"1,699,185","375,758",10486.16425,10392.24157,2737.872568
Hawaii,"2,696,665","286,988","2,354,601","55,076","2,515,036",0,10.6,87.3,2,"186,825","62,437",14434.17637,13461.98849,0
Idaho,"2,084,312","232,593","1,319,582","532,137","2,012,852","1,389,273",11.2,63.3,25.5,"281,452","57,484",7405.568267,7151.670622,4936.092122
Illinois,"30,407,109","2,301,827","11,163,462","16,941,820","30,199,722","21,151,104",7.6,36.7,55.7,"2,060,632","599,119",14756.20538,14655.56295,10264.37714
Indiana,"12,149,675","933,891","7,632,238","3,583,546","10,892,114","11,055,774",7.7,62.8,29.5,"1,007,121","251,599",12063.7689,10815.09968,10977.60249
Iowa,"6,194,941","455,586","3,247,115","2,492,240","6,296,234","3,527,917",7.4,52.4,40.2,"501,763","135,242",12346.34877,12548.22297,7031.042544
Kansas,"5,483,708","402,250","3,146,977","1,934,481","5,647,063","4,785,278",7.3,57.4,35.3,"468,630","128,315",11701.57267,12050.15257,10211.20714
Kentucky,"7,228,770","825,742","3,966,872","2,436,156","7,344,521","5,780,722",11.4,54.9,33.7,"686,938","158,238",10523.17676,10691.6796,8415.201954
Louisiana,"8,323,024","1,272,004","3,455,315","3,595,705","7,985,369","3,938,907",15.3,41.5,43.2,"665,441","188,965",12507.5311,12000.11571,5919.243028
Maine,"2,609,930","182,961","1,032,280","1,394,689","2,474,551","810,176",7,39.6,53.4,"178,709","52,566",14604.3568,13846.81801,4533.492997
Maryland,"13,978,426","816,033","6,186,736","6,975,657","13,450,813","4,265,471",5.8,44.3,49.9,"865,768","312,054",16145.69492,15536.27877,4926.806027
Massachusetts,"16,474,364","791,029","6,587,492","9,095,843","16,133,044","4,706,197",4.8,40,55.2,"920,558","379,381",17896.06304,17525.28792,5112.330782
Michigan,"17,529,062","1,563,397","10,073,758","5,891,907","17,098,757","17,942,709",8.9,57.5,33.6,"1,363,533","387,978",12855.61992,12540.039,13158.98405
Minnesota,"11,017,479","630,445","7,603,409","2,783,625","11,127,875","10,781,547",5.7,69,25.3,"804,580","257,058",13693.45373,13830.6632,13400.2175
Mississippi,"4,467,314","664,697","2,243,098","1,559,519","4,460,359","1,622,128",14.9,50.2,34.9,"492,421","100,626",9072.143552,9058.019459,3294.189322
Missouri,"10,163,998","895,743","4,267,069","5,001,186","10,204,480","6,836,162",8.8,42,49.2,"892,992","243,592",11381.95863,11427.29162,7655.345177
Montana,"1,712,493","201,528","822,788","688,177","1,735,317","590,371",11.8,48,40.2,"144,034","39,462",11889.50526,12047.96784,4098.830832
Nebraska,"3,926,536","318,176","1,283,014","2,325,346","3,988,681","2,316,948",8.1,32.7,59.2,"307,398","86,447",12773.45981,12975.62443,7537.290418
Nevada,"4,201,457","381,596","2,651,854","1,168,007","4,038,933","3,905,728",9.1,63.1,27.8,"435,765","109,490",9641.565982,9268.60349,8962.922676
New Hampshire,"2,939,906","161,392","1,003,204","1,775,310","2,792,382","757,539",5.5,34.1,60.4,"184,684","66,839",15918.57443,15119.78298,4101.811743
New Jersey,"27,384,835","1,141,887","11,036,760","15,206,188","26,626,490","7,191,438",4.2,40.3,55.5,"1,333,804","491,865",20531.37867,19962.82062,5391.675239
New Mexico,"3,601,387","466,320","2,505,492","629,575","3,808,492","2,038,542",12.9,69.6,17.5,"326,637","73,571",11025.65539,11659.70787,6241.001479
New York,"61,081,332","3,346,420","24,816,869","32,918,043","62,261,003","31,108,746",5.5,40.6,53.9,"2,618,542","1,055,803",23326.46641,23776.97322,11880.17836
North Carolina,"13,462,754","1,529,624","7,849,343","4,083,787","13,479,223","7,798,315",11.4,58.3,30.3,"1,441,391","372,031",9340.112433,9351.538202,5410.270357
North Dakota,"1,530,158","155,894","901,032","473,232","1,546,676","441,265",10.2,58.9,30.9,"103,272","39,358",14816.77512,14976.72167,4272.84259
Ohio,"22,487,270","1,692,769","9,492,461","11,302,040","21,699,962","10,231,635",7.5,42.2,50.3,"1,601,566","471,547",14040.80132,13549.21496,6388.519112
Oklahoma,"6,032,331","690,122","2,983,860","2,358,349","6,009,958","1,798,317",11.4,49.5,39.1,"670,069","161,686",9002.551976,8969.162877,2683.778835
Oregon,"6,573,206","521,463","3,393,147","2,658,596","6,437,672","6,396,356",7.9,51.6,40.4,"566,538","154,869",11602.40972,11363.17776,11290.25061
Pennsylvania,"27,647,475","1,812,609","10,272,392","15,562,474","27,033,388","24,923,615",6.6,37.2,56.3,"1,605,292","588,296",17222.70777,16840.16864,15525.90744
Rhode Island,"2,289,429","186,551","867,512","1,235,366","2,231,807","980,418",8.1,37.9,54,"135,084","48,607",16948.18779,16521.62358,7257.839566
South Carolina,"8,405,682","812,536","3,902,923","3,690,223","8,436,959","12,863,007",9.7,46.4,43.9,"729,386","169,269",11524.32594,11567.20721,17635.39059
South Dakota,"1,342,877","186,216","413,544","743,117","1,352,648","856,854",13.9,30.8,55.3,"130,653","37,855",10278.19491,10352.9808,6558.242061
Tennessee,"9,215,027","1,095,377","4,315,952","3,803,698","9,418,223","4,755,954",11.9,46.8,41.3,"992,583","255,422",9283.885579,9488.599946,4791.4925
Texas,"52,609,018","5,643,178","20,510,815","26,455,025","52,935,127","70,838,845",10.7,39,50.3,"4,949,469","1,161,134",10629.22467,10695.11234,14312.41311
Utah,"4,400,351","385,210","2,363,055","1,652,086","4,381,995","2,830,750",8.8,53.7,37.5,"570,423","106,073",7714.189295,7682.009667,4962.545339
Vermont,"1,672,580","102,434","1,495,453","74,693","1,636,281","286,087",6.1,89.4,4.5,"87,990","28,108",19008.75099,18596.21548,3251.358109
Virginia,"15,083,311","1,009,659","5,994,897","8,078,755","15,451,418","7,880,850",6.7,39.7,53.6,"1,273,211","404,886",11846.67035,12135.78739,6189.743884
Washington,"12,943,921","1,030,232","7,833,024","4,080,665","12,765,051","9,948,133",8,60.5,31.5,"1,057,773","331,031",12236.95538,12067.85482,9404.790064
