State,Total,American Indian / Alaska Native,Asian / Pacific Islander,Hispanic,Black,White,Economically disadvantaged,Limited English proficiency,Students with disabilities
    United States,83.2,71.6,90.2,77.8,74.6,87.6,76.1,65.1,64.6
Alabama,89.3,90,93,90,87,90.5,84.7,75,72.4
Alaska,75.6,64,83,72,71,80,66.6,56,57
Arizona,77.4,66.8,87,72.7,72.6,83.2,73.1,34,64.4
Arkansas,84.9,80,86,84.5,77.5,87.4,81.7,86,81.9
California,82,73,92.2,79,71,88,78,69,65
Colorado,77.3,64,87,67.6,69.9,82.6,65.5,61.1,53.8
Connecticut,87.2,87,95,74.8,78,92.7,75.9,67,65.6
Delaware,85.6,69,94,81,83.2,88,76,69,66
District of Columbia,68.5,<>,79,68,67.1,86,68.2,62,46
Florida,77.9,76,90.5,76.7,68,82.7,70.4,59.5,56.8
Georgia,78.8,76,87.9,72,75.2,82.8,74.5,56.4,54.3
Hawaii,81.6,61,82.8,75,74,79,75.9,46,60
Idaho,78.9,66,84,71.2,75,80.8,72,72,58
Illinois,85.6,79,93.8,80.7,75.5,90.2,77.9,72,70.5
Indiana,87.1,86,88,83,74.9,89.6,84.2,75,70.9
Iowa,90.8,85,92,83,79,92.4,84.8,83,77
Kansas,85.7,81,91,78.2,79,88.3,77.3,77,77.3
Kentucky,88,81,91,83,80.4,89.3,84.8,67,66
Louisiana,77.5,76,90,75,71.4,82.7,70.8,50,44.3
Maine,87.5,82,93,80,80,87.9,75.6,77,74
Maryland,87,79,95.9,76.9,82.3,92,78.6,49,63.9
Massachusetts,87.3,80,92.3,72.2,77.5,91.6,78.2,64,69.9
Michigan,79.8,71,90.3,72.1,67.3,83.5,67.5,72.1,57.1
Minnesota,81.9,52,82.7,65.6,62,86.9,67.2,63.1,61.1
Mississippi 2,75.4,70,85,68,72,79.4,70.5,53,30.7
Missouri,87.8,86,93,84,75.6,90.6,80.7,71,76.6
Montana,86,67,95,83,82,88.7,76.9,62,75
Nebraska,88.9,76,79,81.6,75,92.5,81.4,55,71
Nevada,71.3,58,82,66.7,55.5,78,63.7,32,29
New Hampshire,88.1,75,91,75,80,88.9,76.7,77,73
New Jersey,89.7,89,96.3,82.8,81.5,94,81.7,74,78
New Mexico,68.6,63,79,67.2,61,73.6,63.5,64,59.3
New York,79.2,65,84.9,66,66.5,88.7,71,36,52.9
North Carolina,85.6,82,92,80,82.2,88.3,79.6,58,67.3
North Dakota,86.6,60,78,75,76,90.6,71,62,68
Ohio,80.7,75,86,69.9,59.7,85.7,68.7,50,67
Oklahoma,82.5,82.2,89,78.8,77.4,84.2,77.5,60,75.6
Oregon,73.8,55,84,67.4,63,76,66.4,51,52.7
Pennsylvania,84.8,76,90.7,69.5,71.8,89.3,75.9,62.6,71.5
Rhode Island,83.2,65,87,76,77,86.6,75.6,77,68
South Carolina,80.3,80,91,77,76.7,82.7,73.7,76,49
South Dakota,83.9,49,81,70,72,89.5,67,56,60
Tennessee,87.9,85,93,83.5,80.6,90.9,83.5,75,70
Texas,89,86,95.1,86.5,85.2,93.4,85.6,73.3,78.2
Utah,84.8,70,86,74.4,70,87.4,76.7,66,67.9
Vermont,87.7,>=50%,76,82,81,88.5,78,69,72
Virginia,85.7,„,91.9,76,78.8,89.6,75.4,44.6,52.6
Washington,78.2,60,85.5,69.6,68.8,80.9,68.1,55.8,58
West Virginia,86.5,71,>=95%,83,83,86.7,82.9,86,69
Wisconsin,88.4,78,91,77.5,64.1,92.9,77.3,62,67.5
Wyoming,79.3,45,88,72,68,81.8,66,64,59
„ Not available.  ,,,,,,,,,
<> Data were suppressed to protect the confidentiality of individual student data.,,,,,,,,,
_ Greater than or equal to. The estimate has been top coded to protect the confidentiality of individual student data.,,,,,,,,,
1The United States 4-year ACGR for American Indian/Alaska Native students was estimated using both the reported 4-year ACGR data from 49 states and the District of Columbia and using imputed data for Virginia.,,,,,,,,,
"2MississippiÍs adjusted cohort graduation rate data displayed in the table above reflect submissions as of May 7, 2016 and subsequently certified in the stateÍs Consolidated State Performance Report.  The state resubmitted their adjusted cohort graduation rate data on July 20, 2016.  These data are currently under review by ED and, upon completion of the data quality review, these tables will be updated to include any accepted revisions for MississippiÍs data.",,,,,,,,,
"NOTE: The 4-year ACGR is the number of students who graduate in 4 years with a regular high school diploma divided by the number of students who form the adjusted cohort for the graduating class. From the beginning of 9th grade (or the earliest high school grade), students who are entering that grade for the first time form a cohort that is ñadjustedî by adding any students who subsequently transfer into the cohort and subtracting any students who subsequently transfer out, emigrate to another country, or die. To protect the confidentiality of individual student data, ACGRs are shown at varying levels of precision depending on the size of the cohort population for each category cell. There are some differences in how states implemented the requirements for the ACGR, leading to the potential for differences across states in how the rates are calculated.  This is particularly applicable to the population of children with disabilities. Black includes African American, Hispanic includes Latino, Asian/Pacific Islander includes Native Hawaiian or Other Pacific Islander, and American Indian includes Alaska Native. Race categories exclude Hispanic origin unless specified.",,,,,,,,,
"SOURCE: EDFacts Data Groups 695 and 696, School year 2014_15; September 15, 2016.",,,,,,,,,
